var1,var2
"01/2007",.00011
"02/2007",.00011
"03/2007",.000109
"04/2007",.00011
"05/2007",.000113
"06/2007",.000111
"07/2007",.00011
"08/2007",.000107
"09/2007",.000107
"10/2007",.00011
"11/2007",.000109
"12/2007",.000107
"01/2008",.000106
"02/2008",.000109
"03/2008",.00011
"04/2008",.000109
"05/2008",.000108
"06/2008",.000107
"07/2008",.000109
"08/2008",.000109
"09/2008",.000107
"10/2008",.000101
"11/2008",.000087
"12/2008",.000089
"01/2009",.00009
"02/2009",.000085
"03/2009",.000084
"04/2009",.00009
"05/2009",.000096
"06/2009",.000098
"07/2009",.000098
"08/2009",.0001
"09/2009",.000102
"10/2009",.000106
"11/2009",.000106
"12/2009",.000105
"01/2010",.000108
"02/2010",.000107
"03/2010",.000109
"04/2010",.000111
"05/2010",.000109
"06/2010",.000109
"07/2010",.000111
"08/2010",.000111
"09/2010",.000111
"10/2010",.000112
"11/2010",.000112
"12/2010",.000111
"01/2011",.000111
"02/2011",.000112
"03/2011",.000114
"04/2011",.000116
"05/2011",.000117
"06/2011",.000117
"07/2011",.000117
"08/2011",.000117
"09/2011",.000115
"10/2011",.00012
"11/2011",.000111
"12/2011",.00011
"01/2012",.00011
"02/2012",.000111
"03/2012",.000109
"04/2012",.000109
"05/2012",.000108
"06/2012",.000106
"07/2012",.000106
"08/2012",.000105
"09/2012",.000105
"10/2012",.000104
"11/2012",.000104
