"Malaysia / U.S. Foreign Exchange Rate (daily)"
Source:  Federal Reserve Bank of St. Louis via wikiposit.org (http://wikiposit.org/uid?FRED.DEXMAUS)
Update:  http://wikiposit.org/w?action=dl&dltypes=comma%20separated&sp=daily&uid=FRED.DEXMAUS

DATE,VALUE,
04-Jan-1971,3.0867,
05-Jan-1971,3.0861,
06-Jan-1971,3.0845,
07-Jan-1971,3.085,
08-Jan-1971,3.0845,
11-Jan-1971,3.0814,
12-Jan-1971,3.0807,
13-Jan-1971,3.0782,
14-Jan-1971,3.075,
15-Jan-1971,3.0764,
18-Jan-1971,3.0755,
19-Jan-1971,3.0719,
20-Jan-1971,3.0725,
21-Jan-1971,3.0716,
22-Jan-1971,3.0703,
25-Jan-1971,3.0675,
26-Jan-1971,3.0665,
27-Jan-1971,3.0653,
28-Jan-1971,3.0653,
29-Jan-1971,3.0647,
01-Feb-1971,3.0631,
02-Feb-1971,3.065,
03-Feb-1971,3.0647,
04-Feb-1971,3.0687,
05-Feb-1971,3.0689,
08-Feb-1971,3.0687,
09-Feb-1971,3.0691,
10-Feb-1971,3.0665,
11-Feb-1971,3.0665,
16-Feb-1971,3.0659,
17-Feb-1971,3.065,
18-Feb-1971,3.065,
19-Feb-1971,3.065,
22-Feb-1971,3.065,
23-Feb-1971,3.065,
24-Feb-1971,3.065,
25-Feb-1971,3.0656,
26-Feb-1971,3.0662,
01-Mar-1971,3.0675,
02-Mar-1971,3.0669,
03-Mar-1971,3.0659,
04-Mar-1971,3.0662,
05-Mar-1971,3.0662,
08-Mar-1971,3.0647,
09-Mar-1971,3.0653,
10-Mar-1971,3.0653,
11-Mar-1971,3.0662,
12-Mar-1971,3.0653,
15-Mar-1971,3.0653,
16-Mar-1971,3.0662,
17-Mar-1971,3.0653,
18-Mar-1971,3.0656,
19-Mar-1971,3.0656,
22-Mar-1971,3.0653,
23-Mar-1971,3.0655,
24-Mar-1971,3.0655,
25-Mar-1971,3.0662,
26-Mar-1971,3.0662,
29-Mar-1971,3.0659,
30-Mar-1971,3.0669,
31-Mar-1971,3.0678,
01-Apr-1971,3.0694,
02-Apr-1971,3.0703,
05-Apr-1971,3.0703,
06-Apr-1971,3.0675,
07-Apr-1971,3.0687,
08-Apr-1971,3.0691,
09-Apr-1971,3.0691,
12-Apr-1971,3.0687,
13-Apr-1971,3.0691,
14-Apr-1971,3.0684,
15-Apr-1971,3.0659,
