Year,Value
2012-10-31,15.3
2012-09-30,16.1
2012-08-31,13.7
2012-07-31,15.7
2012-06-30,15.3
2012-05-31,16.4
2012-04-30,15.9
2012-03-31,17.0
2012-02-29,15.7
2012-01-31,15.7
2011-12-31,17.0
2011-11-30,16.6
2011-10-31,17.1
2011-09-30,16.9
2011-08-31,18.5
2011-07-31,16.9
2011-06-30,17.6
2011-05-31,17.8
2011-04-30,16.4
2011-03-31,16.7
2011-02-28,14.1
2011-01-31,14.9
2010-12-31,16.3
2010-11-30,15.0
2010-10-31,14.3
2010-09-30,12.5
2010-08-31,14.2
2010-07-31,13.0
2010-06-30,12.8
2010-05-31,12.5
2010-04-30,12.1
2010-03-31,13.3
2010-02-28,11.2
2010-01-31,10.5
2009-12-31,13.5
2009-11-30,10.6
2009-10-31,11.9
2009-09-30,10.1
2009-08-31,10.9
2009-07-31,10.3
2009-06-30,10.1
2009-05-31,9.6
2009-04-30,8.4
2009-03-31,8.9
2009-02-28,7.9
2009-01-31,7.4
2008-12-31,8.8
2008-11-30,9.6
2008-10-31,11.4
2008-09-30,12.9
2008-08-31,12.5
2008-07-31,12.7
2008-06-30,13.0
2008-05-31,13.1
2008-04-30,11.3
2008-03-31,12.0
2008-02-29,10.9
2008-01-31,11.5
2007-12-31,11.4
2007-11-30,10.4
2007-10-31,10.4
2007-09-30,9.9
2007-08-31,10.0
2007-07-31,10.1
2007-06-30,9.9
2007-05-31,10.0
2007-04-30,9.3
2007-03-31,9.5
2007-02-28,8.5
2007-01-31,8.6
2006-12-31,9.9
2006-11-30,8.8
2006-10-31,8.5
2006-09-30,9.3
2006-08-31,9.2
2006-07-31,9.1
2006-06-30,8.9
2006-05-31,8.4
2006-04-30,8.2
2006-03-31,7.7
2006-02-28,7.7
2006-01-31,7.8
2005-12-31,8.1
2005-11-30,7.0
2005-10-31,8.0
2005-09-30,7.5
2005-08-31,7.2
2005-07-31,7.2
2005-06-30,7.2
2005-05-31,7.5
2005-04-30,6.9
2005-03-31,7.3
2005-02-28,6.5
2005-01-31,6.3
