Year,Value
2012-10-31,17.0
2012-09-30,15.3
2012-08-31,13.7
2012-07-31,16.0
2012-06-30,16.1
2012-05-31,16.9
2012-04-30,16.5
2012-03-31,16.2
2012-02-29,15.8
2012-01-31,15.2
2011-12-31,15.9
2011-11-30,15.5
2011-10-31,15.5
2011-09-30,14.9
2011-08-31,14.6
2011-07-31,15.8
2011-06-30,15.6
2011-05-31,14.8
2011-04-30,14.8
2011-03-31,14.6
2011-02-28,12.1
2011-01-31,12.7
2010-12-31,13.7
2010-11-30,12.6
2010-10-31,11.7
2010-09-30,9.1
2010-08-31,12.3
2010-07-31,12.0
2010-06-30,11.1
2010-05-31,10.0
2010-04-30,10.7
2010-03-31,10.9
2010-02-28,9.0
2010-01-31,9.2
2009-12-31,8.8
2009-11-30,8.3
2009-10-31,9.1
2009-09-30,7.1
2009-08-31,8.4
2009-07-31,8.8
2009-06-30,8.0
2009-05-31,6.9
2009-04-30,6.3
2009-03-31,6.5
2009-02-28,5.6
2009-01-31,6.6
2008-12-31,8.0
2008-11-30,8.7
2008-10-31,11.3
2008-09-30,10.9
2008-08-31,11.7
2008-07-31,12.7
2008-06-30,11.9
2008-05-31,11.3
2008-04-30,11.7
2008-03-31,10.1
2008-02-29,9.7
2008-01-31,9.5
2007-12-31,8.0
2007-11-30,9.1
2007-10-31,7.7
2007-09-30,8.2
2007-08-31,8.3
2007-07-31,8.0
2007-06-30,7.8
2007-05-31,8.2
2007-04-30,7.1
2007-03-31,7.5
2007-02-28,6.4
2007-01-31,6.7
2006-12-31,7.4
2006-11-30,8.2
2006-10-31,6.0
2006-09-30,6.9
2006-08-31,6.8
2006-07-31,7.1
2006-06-30,7.2
2006-05-31,6.7
2006-04-30,6.3
2006-03-31,6.6
2006-02-28,5.8
2006-01-31,5.7
2005-12-31,6.3
2005-11-30,5.1
2005-10-31,6.5
2005-09-30,6.5
2005-08-31,7.1
2005-07-31,6.6
2005-06-30,6.2
2005-05-31,6.7
2005-04-30,6.2
2005-03-31,7.0
2005-02-28,6.1
2005-01-31,5.4
