Date,Value
2012-11-30,5.75
2012-10-31,5.75
2012-09-30,5.75
2012-08-31,5.75
2012-07-31,5.75
2012-06-30,5.75
2012-05-31,5.75
2012-04-30,5.75
2012-03-31,5.75
2012-02-29,5.75
2012-01-31,6.0
2011-12-31,6.0
2011-11-30,6.0
2011-10-31,6.5
2011-09-30,6.75
2011-08-31,6.75
2011-07-31,6.75
2011-06-30,6.75
2011-05-31,6.75
2011-04-30,6.75
2011-03-31,6.75
2011-02-28,6.75
2011-01-31,6.5
2010-12-31,6.5
2010-11-30,6.5
2010-10-31,6.5
2010-09-30,6.5
2010-08-31,6.5
2010-07-31,6.5
2010-06-30,6.5
2010-05-31,6.5
2010-04-30,6.5
2010-03-31,6.5
2010-02-28,6.5
2010-01-31,6.5
2009-12-31,6.5
2009-11-30,6.5
2009-10-31,6.5
2009-09-30,6.5
2009-08-31,6.5
2009-07-31,6.75
2009-06-30,7.0
2009-05-31,7.25
2009-04-30,7.5
2009-03-31,7.75
2009-02-28,8.25
2009-01-31,8.75
2008-12-31,9.25
2008-11-30,9.5
2008-10-31,9.5
2008-09-30,9.25
2008-08-31,9.0
2008-07-31,8.75
2008-06-30,8.5
2008-05-31,8.25
2008-04-30,8.0
2008-03-31,8.0
2008-02-29,8.0
2008-01-31,8.0
2007-12-31,8.0
2007-11-30,8.25
2007-10-31,8.25
2007-09-30,8.25
2007-08-31,8.25
2007-07-31,8.25
2007-06-30,8.5
2007-05-31,8.75
2007-04-30,9.0
2007-03-31,9.0
2007-02-28,9.25
2007-01-31,9.5
2006-12-31,9.75
2006-11-30,10.25
2006-10-31,10.75
2006-09-30,11.25
2006-08-31,11.75
2006-07-31,12.25
2006-06-30,12.5
2006-05-31,12.5
2006-04-30,12.75
2006-03-31,12.75
2006-02-28,12.75
2006-01-31,12.75
2005-12-31,12.75
2005-11-30,12.25
2005-10-31,11.0
2005-09-30,10.0
2005-08-31,9.5
2005-07-31,8.5
