Date,Value
2012-10-31,186981910.0
2012-09-30,168862657.0
2012-08-31,207054320.0
2012-07-31,178595735.0
2012-06-30,172884316.0
2012-05-31,198850902.0
2012-04-30,183607619.0
2012-03-31,210855996.0
2012-02-29,146383476.0
2012-01-31,173196954.0
2011-12-31,175390646.0
2011-11-30,182019104.0
2011-10-31,165190570.0
2011-09-30,207323651.0
2011-08-31,195973731.0
2011-07-31,172070554.0
2011-06-30,208783201.0
2011-05-31,193111872.0
2011-04-30,340620956.0
2011-03-31,182151832.0
2011-02-28,138026874.0
2011-01-31,126556972.0
2010-12-31,135377630.0
2010-11-30,172214147.0
2010-10-31,139390340.0
2010-09-30,172989630.0
2010-08-31,153635965.0
2010-07-31,146873239.0
2010-06-30,144196553.0
2010-05-31,152453444.0
2010-04-30,131334036.0
2010-03-31,163088290.0
2010-02-28,112408139.0
2010-01-31,125159908.0
2009-12-31,116756105.0
2009-11-30,138468649.0
2009-10-31,133408723.0
2009-09-30,133845075.0
2009-08-31,116078412.0
2009-07-31,113160133.0
2009-06-30,98984134.0
2009-05-31,75374824.0
2009-04-30,78638071.0
2009-03-31,82484168.0
2009-02-28,59712702.0
2009-01-31,78706121.0
2008-12-31,96034987.0
2008-11-30,114492835.0
2008-10-31,137904584.0
2008-09-30,144315920.0
2008-08-31,142179569.0
2008-07-31,198985502.0
2008-06-30,149845176.0
2008-05-31,141066142.0
2008-04-30,129150624.0
2008-03-31,120608326.0
2008-02-29,134870990.0
2008-01-31,127342184.0
2007-12-31,112572226.0
2007-11-30,140213517.0
2007-10-31,150108167.0
2007-09-30,122299950.0
2007-08-31,129189481.0
2007-07-31,91055306.0
2007-06-30,94581309.0
2007-05-31,91807140.0
2007-04-30,81529777.0
2007-03-31,102788585.0
2007-02-28,73774742.0
2007-01-31,90141202.0
2006-12-31,78287185.0
2006-11-30,89293822.0
2006-10-31,88734538.0
2006-09-30,83537403.0
2006-08-31,81567408.0
2006-07-31,80513275.0
2006-06-30,66283450.0
2006-05-31,77184693.0
2006-04-30,65539946.0
2006-03-31,76603359.0
2006-02-28,55821704.0
2006-01-31,57876040.0
2005-12-31,53199313.0
2005-11-30,68994041.0
2005-10-31,54932434.0
2005-09-30,62605371.0
2005-08-31,57426322.0
2005-07-31,58292574.0
2005-06-30,57209572.0
2005-05-31,48886164.0
2005-04-30,45955184.0
2005-03-31,45529483.0
2005-02-28,40016569.0
2005-01-31,44029240.0
2004-12-31,39731271.0
2004-11-30,49622439.0
2004-10-31,52980283.0
2004-09-30,43910129.0
2004-08-31,48383183.0
2004-07-31,45890419.0
2004-06-30,40437146.0
2004-05-31,36224039.0
2004-04-30,44313743.0
2004-03-31,47008643.0
2004-02-29,27866851.0
2004-01-31,39102091.0
2003-12-31,31864036.0
2003-11-30,34247025.0
2003-10-31,42872475.0
2003-09-30,37969112.0
2003-08-31,34689942.0
2003-07-31,37239257.0
2003-06-30,32169048.0
2003-05-31,40462740.0
2003-04-30,47331395.0
2003-03-31,39102184.0
2003-02-28,33646161.0
2003-01-31,32495427.0
2002-12-31,28404565.0
2002-11-30,29197344.0
2002-10-31,34703352.0
2002-09-30,33395300.0
2002-08-31,35831490.0
2002-07-31,39580316.0
2002-06-30,29250957.0
2002-05-31,30144347.0
2002-04-30,31404808.0
2002-03-31,23814099.0
2002-02-28,20828221.0
2002-01-31,20881431.0
2001-12-31,18657902.0
2001-11-30,20318378.0
2001-10-31,25056759.0
2001-09-30,19633357.0
2001-08-31,32149171.0
2001-07-31,29397643.0
2001-06-30,29314260.0
2001-05-31,31370441.0
2001-04-30,29178904.0
2001-03-31,35818155.0
2001-02-28,37077496.0
2001-01-31,38927714.0
2000-12-31,28138470.0
2000-11-30,39802555.0
2000-10-31,52250034.0
2000-09-30,47347683.0
2000-08-31,43619595.0
2000-07-31,51310966.0
2000-06-30,39546597.0
2000-05-31,50809025.0
2000-04-30,32710051.0
2000-03-31,33114321.0
2000-02-29,28309138.0
2000-01-31,29666678.0
1999-12-31,26862857.0
1999-11-30,29566924.0
1999-10-31,37113694.0
1999-09-30,38419863.0
1999-08-31,30848199.0
1999-07-31,23092139.0
1999-06-30,16576516.0
1999-05-31,18715542.0
1999-04-30,19980455.0
1999-03-31,18930716.0
1999-02-28,23978851.0
1999-01-31,23689630.0
1998-12-31,20095832.0
1998-11-30,26906413.0
1998-10-31,46483338.0
1998-09-30,45234106.0
1998-08-31,35285048.0
1998-07-31,52681802.0
1998-06-30,34542140.0
1998-05-31,41324867.0
1998-04-30,38164731.0
1998-03-31,33065367.0
1998-02-28,35374395.0
