Month,US cents per Pound
2012-11-30,134.91
2012-10-31,145.33
2012-09-30,137.82
2012-08-31,126.69
2012-07-31,139.63
2012-06-30,145.09
2012-05-31,169.11
2012-04-30,174.4
2012-03-31,178.22
2012-02-29,181.55
2012-01-31,164.48
2011-12-31,153.52
2011-11-30,152.95
2011-10-31,184.21
2011-09-30,206.45
2011-08-31,212.11
2011-07-31,214.64
2011-06-30,223.8
2011-05-31,232.07
2011-04-30,265.49
2011-03-31,245.78
2011-02-28,280.79
2011-01-31,250.36
2010-12-31,215.28
2010-11-30,195.32
2010-10-31,178.02
2010-09-30,160.24
2010-08-31,150.42
2010-07-31,148.51
2010-06-30,161.74
2010-05-31,166.91
2010-04-30,179.09
2010-03-31,151.44
2010-02-28,141.87
2010-01-31,139.79
2009-12-31,127.47
2009-11-30,116.74
2009-10-31,106.68
2009-09-30,98.5
2009-08-31,92.86
2009-07-31,79.06
2009-06-30,75.48
2009-05-31,76.39
2009-04-30,73.5
2009-03-31,63.84
2009-02-28,67.22
2009-01-31,68.26
2008-12-31,56.7
2008-11-30,77.06
2008-10-31,88.05
2008-09-30,130.61
2008-08-31,133.78
2008-07-31,145.96
2008-06-30,147.04
2008-05-31,139.05
2008-04-30,129.51
2008-03-31,127.4
2008-02-29,127.63
2008-01-31,119.92
2007-12-31,112.95
2007-11-30,113.66
2007-10-31,106.96
2007-09-30,98.91
2007-08-31,96.8
2007-07-31,95.3
2007-06-30,102.86
2007-05-31,108.6
2007-04-30,106.75
2007-03-31,103.24
2007-02-28,104.96
2007-01-31,95.65
2006-12-31,79.25
2006-11-30,75.26
2006-10-31,84.44
2006-09-30,83.76
2006-08-31,100.37
2006-07-31,114.17
2006-06-30,123.8
2006-05-31,111.8
2006-04-30,98.59
2006-03-31,95.02
2006-02-28,94.36
2006-01-31,85.93
2005-12-31,77.26
2005-11-30,73.58
2005-10-31,77.99
2005-09-30,77.4
2005-08-31,73.42
2005-07-31,77.13
2005-06-30,66.24
2005-05-31,61.96
2005-04-30,60.28
2005-03-31,60.31
2005-02-28,57.65
2005-01-31,54.21
2004-12-31,54.97
2004-11-30,57.15
2004-10-31,58.57
2004-09-30,57.54
2004-08-31,57.14
2004-07-31,59.29
2004-06-30,62.78
2004-05-31,62.1
2004-04-30,62.91
2004-03-31,61.26
2004-02-29,58.84
2004-01-31,57.52
2003-12-31,57.31
2003-11-30,58.15
2003-10-31,58.92
2003-09-30,50.48
2003-08-31,47.69
2003-07-31,45.61
2003-06-30,46.72
2003-05-31,45.33
2003-04-30,45.24
2003-03-31,48.19
2003-02-28,44.74
2003-01-31,41.11
2002-12-31,38.46
2002-11-30,38.11
2002-10-31,37.48
2002-09-30,40.4
2002-08-31,39.13
2002-07-31,37.72
2002-06-30,38.12
2002-05-31,31.98
2002-04-30,30.57
2002-03-31,30.41
2002-02-28,28.33
2002-01-31,25.73
2001-12-31,22.12
2001-11-30,23.35
2001-10-31,24.37
2001-09-30,26.29
2001-08-31,26.6
2001-07-31,27.48
2001-06-30,28.12
2001-05-31,27.51
2001-04-30,26.25
2001-03-31,26.02
2001-02-28,27.3
2001-01-31,27.61
2000-12-31,28.13
2000-11-30,28.74
2000-10-31,30.13
2000-09-30,29.81
2000-08-31,30.31
2000-07-31,29.4
2000-06-30,30.39
2000-05-31,31.2
2000-04-30,31.93
2000-03-31,30.94
2000-02-29,33.39
2000-01-31,29.21
1999-12-31,31.08
1999-11-30,33.59
1999-10-31,29.36
1999-09-30,27.02
1999-08-31,25.48
1999-07-31,25.68
1999-06-30,27.38
1999-05-31,27.11
1999-04-30,26.83
1999-03-31,28.88
1999-02-28,31.16
1999-01-31,32.42
1998-12-31,30.44
1998-11-30,32.6
1998-10-31,33.06
1998-09-30,30.97
1998-08-31,29.64
1998-07-31,31.92
1998-06-30,31.89
1998-05-31,35.49
1998-04-30,35.03
1998-03-31,33.79
1998-02-28,37.3
1998-01-31,30.67
1997-12-31,32.91
1997-11-30,38.13
1997-10-31,39.63
1997-09-30,39.43
1997-08-31,41.54
1997-07-31,42.58
1997-06-30,50.44
1997-05-31,50.2
1997-04-30,52.19
1997-03-31,55.64
1997-02-28,55.37
1997-01-31,55.85
1996-12-31,57.02
1996-11-30,57.62
1996-10-31,56.33
1996-09-30,59.19
1996-08-31,59.1
1996-07-31,61.3
1996-06-30,66.95
1996-05-31,67.33
1996-04-30,66.64
1996-03-31,70.7
1996-02-29,70.55
1996-01-31,70.3
1995-12-31,74.21
1995-11-30,73.18
1995-10-31,63.96
1995-09-30,61.1
1995-08-31,58.87
1995-07-31,60.96
1995-06-30,69.66
1995-05-31,78.13
1995-04-30,83.46
1995-03-31,81.78
1995-02-28,80.32
1995-01-31,74.58
1994-12-31,66.47
1994-11-30,60.95
1994-10-31,62.05
1994-09-30,57.45
1994-08-31,57.2
1994-07-31,56.75
1994-06-30,47.65
1994-05-31,44.42
1994-04-30,43.03
1994-03-31,41.4
1994-02-28,38.72
1994-01-31,36.7
1993-12-31,36.98
1993-11-30,36.7
1993-10-31,36.2
1993-09-30,37.33
1993-08-31,37.34
1993-07-31,36.68
1993-06-30,36.78
1993-05-31,36.94
1993-04-30,37.39
1993-03-31,38.47
1993-02-28,40.57
1993-01-31,41.09
1992-12-31,40.08
1992-11-30,40.14
1992-10-31,40.37
1992-09-30,39.65
1992-08-31,39.85
1992-07-31,40.12
1992-06-30,39.87
1992-05-31,39.3
1992-04-30,38.93
1992-03-31,37.51
1992-02-29,36.8
1992-01-31,36.35
1991-12-31,35.72
1991-11-30,36.96
1991-10-31,37.51
1991-09-30,36.79
1991-08-31,37.05
1991-07-31,37.31
1991-06-30,37.94
1991-05-31,37.23
