lat,lon
-4.16042,114.7127
-4.13958,114.6387
-4.13542,114.6381
-4.13542,114.6422
-4.12708,114.7747
-4.12708,114.7789
-4.12292,114.7741
-4.12292,114.7783
-4.11875,114.7735
-4.11042,114.6345
-4.10208,114.6332
-4.01042,114.7414
-4.00625,114.7283
-4.00625,114.7324
-4.00625,114.7366
-4.00625,114.8202
-4.00208,114.64
-3.99792,114.6394
-3.99792,114.6436
-3.99792,114.6477
-3.99792,114.8566
-3.99792,114.8607
-3.99792,114.8649
-3.99792,114.8691
-3.99792,114.8858
-3.99375,114.643
-3.99375,114.6471
-3.99375,114.6513
-3.99375,114.8518
-3.99375,114.856
-3.99375,114.8602
-3.99375,114.8685
-3.98958,114.6466
-3.98958,114.6507
-3.98958,114.8512
-3.98958,114.8554
-3.98958,114.8596
-3.98542,114.6502
-3.98542,114.7003
-3.98125,114.6496
-3.97708,114.6323
-3.97708,114.6365
-3.97708,114.6406
-3.97708,114.7075
-3.97708,114.9414
-3.97292,114.6317
-3.97292,114.6359
-3.97292,114.7069
-3.97292,114.7111
-3.96875,114.936
-3.96875,114.9402
-3.96875,114.9444
-3.96458,114.9396
-3.96458,116.1467
-3.96458,116.155
-3.96042,115.0936
-3.96042,115.0978
-3.96042,116.1461
-3.96042,116.1503
-3.95625,115.093
-3.95625,115.0972
-3.95208,115.0924
-3.95208,115.0966
-3.95208,115.1008
-3.95208,115.105
-3.95208,116.1533
-3.95208,116.1575
-3.94792,115.0919
-3.94792,115.096
-3.94792,115.1002
-3.94792,115.1044
-3.94375,114.8741
-3.94375,114.8783
-3.94375,115.0996
-3.94375,115.1038
-3.94375,115.108
-3.93958,114.8735
-3.93958,114.8777
-3.93958,115.0949
-3.93958,115.0991
-3.93958,115.1032
-3.93958,115.1074
-3.93958,115.1199
-3.93958,115.1241
-3.93958,115.1283
-3.93958,116.21
-3.93958,116.2184
-3.93542,114.8729
-3.93542,114.8771
-3.93542,115.1027
-3.93542,115.1068
-3.93542,115.111
-3.93542,115.1194
-3.93542,115.1235
-3.93542,115.1277
-3.93125,115.1021
-3.93125,115.1063
-3.93125,115.1188
-3.93125,115.123
-3.93125,115.1271
-3.93125,115.1313
-3.93125,115.1355
-3.92708,114.9553
-3.92708,114.9595
-3.92708,114.9637
-3.92708,115.1266
-3.92708,116.108
-3.92708,116.1122
-3.92708,116.1164
-3.92708,116.1832
-3.92292,116.1075
-3.92292,116.1116
-3.92292,116.12
-3.91875,116.1194
-3.91458,114.9536
-3.91458,116.1815
-3.91458,116.1857
-3.91042,114.6231
-3.91042,114.9572
-3.91042,114.9614
-3.91042,116.1099
-3.91042,116.1141
-3.91042,116.1182
-3.91042,116.1224
-3.91042,116.1391
-3.91042,116.1475
-3.91042,116.1642
-3.91042,116.1725
-3.91042,116.2101
-3.90625,114.9525
-3.90625,114.9566
-3.90625,114.9608
-3.90625,114.9942
-3.90625,114.9984
-3.90625,116.1135
-3.90625,116.1177
-3.90625,116.1386
-3.90625,116.1427
-3.90625,116.1469
-3.90625,116.2096
-3.90625,116.2221
-3.90625,116.2263
-3.90208,114.9895
-3.90208,114.9937
-3.90208,114.9978
-3.90208,116.1171
-3.90208,116.1422
-3.90208,116.1463
-3.90208,116.1881
-3.90208,116.1923
-3.90208,116.209
-3.90208,116.2132
-3.90208,116.2173
-3.90208,116.2215
-3.90208,116.2257
-3.90208,116.2299
-3.90208,116.234
-3.89792,115.2395
-3.89792,116.1374
-3.89792,116.1416
-3.89792,116.1458
-3.89792,116.2084
-3.89792,116.2126
-3.89792,116.2168
-3.89792,116.2209
-3.89792,116.2251
-3.89792,116.2293
-3.89792,116.2335
-3.89792,116.2376
-3.89375,115.0468
-3.89375,115.2264
-3.89375,115.2306
-3.89375,115.2347
-3.89375,115.2389
-3.89375,116.141
-3.89375,116.1452
-3.89375,116.1535
-3.89375,116.1577
-3.89375,116.2078
-3.89375,116.212
-3.89375,116.2162
