lat,lon
.86875,110.5398
.87708,110.6609
.87708,110.665
.87708,110.6692
.87708,110.6734
.87708,110.6776
.88125,110.486
.88125,110.4902
.88125,110.4943
.88125,110.661
.88125,110.6693
.88125,110.6735
.88542,110.4944
.88542,110.4986
.88542,110.6736
.88542,110.6778
.88958,110.4946
.88958,110.4987
.88958,110.6529
.88958,110.6863
.88958,110.6946
.88958,110.6988
.89375,110.6906
.89375,110.6947
.89375,110.6989
.89792,110.6823
.89792,110.6865
.89792,110.6907
.89792,110.6948
.89792,110.7032
.89792,110.7073
.90208,110.6741
.90208,110.6783
.90208,110.6908
.90208,110.695
.90208,110.6991
.90208,110.7075
.90625,110.6701
.90625,110.6743
.90625,110.6784
.90625,110.6826
.90625,110.7034
.90625,110.7076
.90625,110.7118
.90625,110.7159
.90625,110.7201
.91042,110.6661
.91042,110.6702
.91042,110.6744
.91042,110.6786
.91042,110.6827
.91042,110.7161
.91458,110.662
.91458,110.6703
.91458,110.6745
.91458,110.6787
.91458,110.787
.91458,110.7912
.91458,110.7954
.91458,110.7995
.91875,110.7205
.91875,110.7872
.91875,110.7913
.91875,110.7997
.91875,110.8038
.92292,110.7831
.92292,110.7873
.92292,110.7915
.92292,110.7956
.92292,110.7998
.92292,110.804
.92292,110.8081
.92708,110.7832
.92708,110.7874
.92708,110.7916
.92708,110.7958
.92708,110.7999
.93125,110.7876
.93125,110.7917
.93542,110.771
.93542,110.7752
.93542,110.7794
.93542,110.796
.93958,110.6295
.93958,110.7753
.93958,110.7795
.93958,110.7962
.94375,110.7629
.94375,110.7671
.94375,110.7713
.94375,110.7754
.94375,110.7796
.94375,110.7879
.94792,110.7672
.94792,110.7881
.94792,110.7923
.94792,110.7964
.94792,110.8006
.95208,110.7632
.95208,110.7715
.95208,110.784
.95208,110.7882
.95208,110.7965
.95208,110.8007
.97292,110.7931
1.00625,110.3524
1.00625,110.3608
1.01042,110.3526
1.01042,111.5819
1.01042,111.5861
1.01042,111.5903
1.01458,110.4361
1.01458,110.6194
1.01458,111.5821
1.01458,111.5862
1.01458,111.5904
1.01458,111.5946
1.01458,111.5987
1.01875,111.428
1.01875,111.4322
1.01875,111.5822
1.02292,111.5824
1.02292,111.5907
1.02292,111.5949
1.02708,110.8699
1.02708,111.5909
1.02708,111.595
1.02708,111.6033
1.03125,111.591
1.03125,111.5952
1.03125,111.5993
1.03125,111.6035
1.03542,111.587
1.03542,111.5953
1.03542,111.5995
1.03958,110.3828
1.03958,110.3869
1.03958,110.8787
1.03958,110.8828
1.03958,111.7871
1.04375,110.3829
